Acar, Umut
Ada, Anil
Akoglu, Leman
Aldrich, Jonathan
Amvrosiadis, George
Andersen, David
Anderson, Daniel
Balcan, Maria
Balzer, Stephanie
Beckmann, Nathan
Berger, Daniel
Blelloch, Guy
Blum, Manuel
Bogart, Christopher
Brookes, Stephen
Brumley, David
Bryant, Randal
Carrasquel, Jacobo
Cervesato, Iliano
Chen, Tianqi
Chrysanthis, Panos
Conitzer, Vincent
Cortina, Thomas
Crane, Keenan
Crary, Karl
Dannenberg, Roger
DeYoung, Henry
Donahue, Chris
Eckhardt, Dave
Erdmann, Michael
Faloutsos, Christos
Fanti, Giulia
Fatahalian, Kayvon
Fredrikson, Matt
Frieze, Alan
Ganger, Gregory
Garlan, David
Gibbons, Phillip
Gibson, Garth
Gkioulekas, Ioannis
Gligor, Virgil
Goldstein, Seth
Goyal, Vipul
Gupta, Anupam
Guruswami, Venkatesan
Haeupler, Bernhard
Harchol-Balter, Mor
Harper, Robert
Heule, Marijn
Hodgins, Jessica
Hoffmann, Jan
Jahanian, Farnam
Jain, Aayush
Jia, Limin
Jia, Zhihao
Kaminsky, Michael
Kanade, Takeo
Kaynar, Zeliha Dilsun
Keylor, Eric
Kilinc-Karzan, Fatma
Kohlbrenner, Anne
Kolter, Zico
Kosbie, David
Kothari, Pravesh
Kultur, Can
Kumar, Swarun
Labrinidis, Alexandros
Lee, Tai-Sing
Levin, Golan
Li, Jason
Li, Minchen
Lucia, Brandon
Mackey, John
Martins, Ruben
McCann, Jim
Miller, Gary
Miller,
Mitchell, Tom
Mitsch, Stefan
Mowry, Todd
Needham, Kit
O'Donnell, Ryan
O'Hallaron, David
O'Toole, Matthew
Oh, Jean
Parno, Bryan
Patel, Jignesh
Pavlo, Andrew
Peng, Richard
Pfenning, Frank
Pillai, Babu
Pollard, Nancy
Procaccia, Ariel
Raghunathan, Aditi
Railing, Brian
Ravi, R.
Reddy, Raj
Rivers, Kelly
Rosenthal, Stephanie
Rudich, Steven
Saad, Feras
Sakr, Majd
Sanders, William
Sandholm, Tuomas
Satyanarayanan, Mahadev
Savelka, Jaromir
Schwartz, Russell
Scott, Dana
Sekar, Vyas
Seshan, Srini
Shah, Nihar
Shaw, Mary
Sherry, Justine
Shi, Elaine
Simmons, Reid
Skarlatos, Dimitrios
Sleator, Daniel
Sriraman, Akshitha
Steenkiste, Peter
Stehlik, Mark
Sutner, Klaus
Sycara, Katia
Taylor, Michael
Touretzky, David
Vinayak, Rashmi Korlakai
Virtue, Patrick
Wang, Weina
Wing, Jeannette
Woodruff, David
Xhakaj, Franceska
Zhang, Hui
Zheng, Wenting
